,attendance,away_team_errors,away_team_hits,home_team_errors,home_team_hits,temperature,wind_speed,total_runs,game_hours_dec,home_team_win,home_team_loss,Capacity,Home_Team_WP,Away_Team_WP,Distance_to_CF,Packed_Ratio,WinPerc_Diff,field_type_n,game_type_n,sky_Cloudy,sky_Drizzle,sky_In Dome,sky_Night,sky_Overcast,sky_Rain,sky_Sunny,sky_Unknown,DofWeek_Friday,DofWeek_Monday,DofWeek_Saturday,DofWeek_Sunday,DofWeek_Thursday,DofWeek_Tuesday,DofWeek_Wednesday
94,29396.0,2,14,0,10,73.0,6.0,12,2.8,0,1,38885,0.3289,0.5316,404.0,0.755972740131156,-0.20269999999999994,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,20017.0,0,8,0,9,77.0,0.0,5,2.8833333333333333,0,1,36742,0.5325,0.5897,407.0,0.5447988677807414,-0.05720000000000003,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
96,28724.0,0,5,0,6,82.0,9.0,3,2.55,0,1,41168,0.5256,0.6538,409.0,0.6977263894286825,-0.1282000000000001,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
97,30304.0,2,8,1,11,68.0,9.0,12,3.4333333333333336,0,1,41299,0.5065,0.4211,420.0,0.7337707934816824,0.08539999999999998,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
98,20435.0,0,10,0,8,59.0,7.0,11,3.1666666666666665,0,1,42319,0.3718,0.5065,404.0,0.4828800302464614,-0.13469999999999993,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
99,24020.0,1,12,1,6,64.0,13.0,5,2.9833333333333334,0,1,40615,0.4935,0.5263,400.0,0.5914071155976856,-0.032799999999999996,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
100,37354.0,1,8,1,6,66.0,10.0,6,3.1166666666666667,0,1,37755,0.5454,0.6053,420.0,0.9893788902132168,-0.05989999999999995,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,40987.0,1,14,1,7,65.0,5.0,13,3.333333333333333,0,1,45477,0.4103,0.6053,396.0,0.9012687732260264,-0.19499999999999995,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,43683.0,0,9,0,12,69.0,6.0,20,3.2666666666666666,1,0,45529,0.5263,0.4805,400.0,0.9594544136704078,0.04580000000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
103,41280.0,1,5,0,13,71.0,7.0,12,2.55,1,0,45477,0.4103,0.6053,396.0,0.9077115904743057,-0.19499999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
104,26176.0,0,6,1,7,83.0,4.0,3,2.45,1,0,41339,0.5897,0.5263,402.0,0.6332035124216842,0.06340000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,11399.0,0,15,1,7,72.0,0.0,10,2.85,0,1,31042,0.4211,0.5325,404.0,0.3672121641646801,-0.1114,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106,30861.0,1,13,1,12,78.0,10.0,11,3.6666666666666665,1,0,38362,0.4744,0.45,399.0,0.804467963088473,0.024399999999999977,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,38391.0,0,6,1,4,85.0,10.0,4,2.5666666666666664,0,1,47309,0.4868,0.5316,408.0,0.8114946416115327,-0.04479999999999995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
108,23826.0,1,5,1,6,73.0,0.0,6,3.05,1,0,41168,0.5256,0.6053,409.0,0.5787504858142246,-0.0797,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
109,36162.0,0,12,1,6,63.0,12.0,10,2.85,0,1,37755,0.5454,0.4805,420.0,0.9578069129916568,0.06490000000000001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
110,14885.0,0,10,0,8,85.0,6.0,8,3.083333333333333,0,1,41084,0.3377,0.4474,400.0,0.36230649401226755,-0.10970000000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,38700.0,0,5,2,6,83.0,7.0,2,2.6333333333333333,0,1,41339,0.5897,0.5263,402.0,0.9361619777933671,0.06340000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
112,32480.0,2,14,0,18,83.0,15.0,24,3.5666666666666664,1,0,48114,0.6538,0.4103,400.0,0.6750633911127738,0.24350000000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
